Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,InvestmentType,Amount in USD,Year
1,2020-09-01,byju’s,e-tech,e-learning,bengaluru,tiger global management,private equity round,200000000.0,2020
2,2015-01-01,shuttl,transportation,app based shuttle service,gurugram,susquehanna growth equity,series c,8048394.0,2015
3,2020-09-01,mamaearth,e-commerce,retailer of baby and toddler products,bengaluru,sequoia capital india,series b,18358860.0,2020
4,2020-02-01,https://www.wealthbucket.in/,fintech,online investment,new delhi,vinod khatumal,pre-series a,3000000.0,2020
5,2020-02-01,fashor,fashion and apparel,embroiled clothes for women,mumbai,sprout venture partners,seed round,1800000.0,2020
6,2015-01-01,pando,logistics,"open-market, freight management platform",chennai,chiratae ventures,series a,9000000.0,2015
7,2020-10-01,zomato,hospitality,online food delivery platform,gurugram,ant financial,private equity round,150000000.0,2020
8,2019-12-12,ecozen,technology,agritech,pune,sathguru catalyzer advisors,series a,6000000.0,2019
9,2019-06-12,cardekho,e-commerce,automobile,gurugram,ping an global voyager fund,series d,70000000.0,2019
10,2019-03-12,dhruva space,aerospace,satellite communication,bengaluru,"mumbai angels, ravikanth reddy",seed,50000000.0,2019
11,2015-01-01,rivigo,technology,logistics services and solutions,gurugram,"saif partners, spring canter investment ltd.",series f,20000000.0,2015
12,2015-01-01,healthians,b2b-focused foodtech startup,food solutions for corporate,bengaluru,"paytm, nptk, sabre partners and neoplux",series c,12000000.0,2015
13,2015-01-01,licious,e-commerce,online meat and seafood ordering startup,bengaluru,vertex growth fund,series e,30000000.0,2015
14,2015-01-01,incred,finance,non-banking financial company,mumbai,Undisclosed,debt funding,5900000.0,2015
15,2015-01-01,trell,video,experience discovery platform,bengaluru,ruizheng investment,seed round,2000000.0,2015
16,2019-11-12,rein games,gaming,real money based gaming startup,new delhi,manipal education and medical group (memg),seed round,50000000.0,2019
17,2015-01-01,lenskart.com,e-commerce,online eyewear shopping portal,faridabad,softbank vision fund,series g,231000000.0,2015
18,2015-01-01,freshworks,software,business and customer engagement tools,san francisco,"sequoia, capitalg, accel",series h,150000000.0,2015
19,2015-01-01,misters,health and wellness,men's health and wellness brand,gurugram,"sauce.vc, rainforest ventures",series b,486000.0,2015
20,2015-01-01,sunstone eduversity pvt. ltd,education,elearning,gurugram,"prime venture partners, letsventure, ps1 venture and globallogic co-founder rajul garg",seed,1500000.0,2015
21,2015-01-01,burger singh,food and beverage,indian burger brand,gurugram,rb investments,venture,1725000.0,2015
22,2015-01-01,healthians,health and wellness,healthcare services,gurugram,"dg daiwa ventures, dg incubation",series b,12000000.0,2015
23,2015-01-01,ninjacart,b2b marketing,agritech,bengaluru,trifecta capital advisors,debt funding,26000000.0,2015
24,2015-01-01,aye finance,fintech,financial services to msmes,gurugram,fintech,debt funding,17411265.0,2015
25,2019-12-11,supergaming,video games,social gaming platform,pune,dream incubator,seed funding,1300000.0,2019
26,2015-01-01,clumio,saas,recovery software,"san jose,","altimeter capital, sutter hill ventures",series c,135000000.0,2015
27,2019-11-11,ebikego,last mile transportation,electric bike rental,amritsar,startup buddy,seed,300000.0,2019
28,2015-01-01,digital mall asia,e-commerce,virtual e-commerce platform,new delhi,amour infrastructure,seed funding,220000000.0,2015
29,2015-01-01,medikabazaar,healthcare,b2b platform for medical supplies,mumbai,"ackermans & van haaren, healthquad, rebright partners, toppan printing",series b,15800000.0,2015
30,2015-01-01,vogo automotive,last mile transportation,scooter sharing app,kormangala,"matrix partners, stellaris venture partners, kalaari capital",series b,283000000.0,2015
32,2015-01-01,paytm,fintech,mobile wallet,new delhi,vijay shekhar sharma,funding round,1000000000.0,2015
33,2019-04-10,dunzo,customer service,delivery service,bengaluru,lightbox,series d,45000000.0,2019
34,2019-02-10,udaan,b2b,business development,bengaluru,"altimeter capital, dst global",series d,585000000.0,2019
35,2015-01-01,the man company,consumer goods,beauty and grooming,gurugram,ayushmann khurana,corporate round,1725000.0,2015
36,2019-05-09,fpl technologies,fintech,financial services,pune,"matrix partners india, sequoia india",maiden round,4500000.0,2019
37,2019-04-09,cashflo,fintech,invoice discounting platform and sme lending marketplace,mumbai,saif partners,series a,3300000.0,2019
38,2019-04-09,digital f5,"advertising, marketing",digital marketing firm,mumbai,tiw private equity,private equity round,6000000.0,2019
39,2019-04-09,3rdflix,saas,education technology,hyderabad,exfinity venture partners,pre-series a,5000000.0,2019
40,2019-04-09,75f,iot,building automation system,burnsville,breakthrough energy ventures,series a,18000000.0,2019
41,2019-04-09,myelin foundry,information technology,deep-technology,bengaluru,endiya partners,seed,1000000.0,2019
42,2019-04-09,atomberg technology,consumer technology,"consumer electronics, home appliances",mumbai,a91 partners,series a,10000000.0,2019
43,2019-04-09,goqii,health and wellness,wearable fitness bands,menlo park,bennett coleman and company ltd (bccl),series c,450000000.0,2019
44,2019-03-09,vyapar app,accounting,mobile-based accounting software,bengaluru,"india quotient, axilor ventures",series a,5000000.0,2019
45,2019-01-08,cardekho,e-commerce,automotive,gurugram,sc gg india mobility holdings llc,series c,20000000.0,2019
46,2019-01-08,progcap,finance,supply chain management,new delhi,sequoia india,series a,5000000.0,2019
47,2019-01-08,mypetrolpump,retail,fuel delivery,bengaluru,Undisclosed,seed funding round,1600000.0,2019
48,2019-01-08,alteria capital,finance,vc funds,mumbai,"azim premji, binny bansal",single venture,140000000.0,2019
49,2019-01-08,pine labs,information technology,last-mile retail transaction technology,new delhi,pine labs pte ltd,corporate round,38080000.0,2019
50,2019-12-08,meesho,e-commerce,social commerce,bengaluru,naspers,series d,125000000.0,2019
51,2015-01-01,cars24,e-commerce,car retail,gurugram,ms dhoni,series d,11000000.0,2015
52,2015-01-01,uniphore,customer service platform,conversational ai,palo alto,march capital partners,series c,51000000.0,2015
53,2015-01-01,zendrive,automotive,road safety analytics,san francisco,xl innovate,series b,37000000.0,2015
54,2015-01-01,lo! foods,consumer goods,low carb food for diabetics,bengaluru,"rashmi daga (founder, freshmenu), raveen sastry (co-founder, myntra) and mitesh shah (finance chief, bookmyshow)",seed round,500000.0,2015
55,2015-01-01,tala,fintech,digital lending platform,santa monica,rps ventures,series d,110000000.0,2015
56,2015-01-01,indwealth,fintech,wealth management,gurugram,tiger global management,venture round,15000000.0,2015
57,2015-01-01,hungerbox,food and beverage,b2b foodtech,bengaluru,one97 communications ltd.,series c,6590000.0,2015
58,2015-01-01,admitkard,edtech,university admissions,new delhi,growth dna,seed round,1000000.0,2015
59,2015-01-01,mishry reviews,services,product review,gurugram,vir sanghvi,series a,1725000.0,2015
60,2015-01-01,grofers,e-commerce,grocery delivery,gurugram,softbank vision fund,series f,70000000.0,2015
61,2015-01-01,rapido bike taxi,transportation,bike taxi,bengaluru,westbridge capital,series b,3900000000.0,2015
62,2019-02-07,renewbuy,finance,auto insurance,gurugram,"lok capital, iifl wealth",series b,19000000.0,2019
63,2019-02-07,atlan,information technology,big data,singapore,waterbridge ventures,pre-series a,2500000.0,2019
64,2019-01-07,wizcounsel,compliance,consulting,new delhi,kapil dev,angel,145000.0,2019
65,2019-03-07,ola cabs,transport,cabs,kormangala,"dig investment ab, deshe holdings, samih toukan and hussam khoury",series j,1000000.0,2019
66,2019-01-07,uniphore,artificial intelligence,speech recognition,taramani,march capital partners,series c,38080000.0,2019
67,2019-04-07,daalchini technologies,food and beverage,digital vending machine,new delhi,artha venture,seed round,500000.0,2019
68,2019-10-07,"""byju\\'s""",edtech,education,bengaluru,qatar investment authority,private equity round,150000000.0,2019
69,2019-11-07,moglix,e-commerce,industrial tools and equipments,singapore,"composite capital management, sequoia capital india, tiger global management",series d,60000000.0,2019
70,2019-10-07,ezyhaul,tech,logistics,singapore,undisclosed,series b,16000000.0,2019
71,2019-10-07,indus os,tech,smartphone operating system,andheri,ventureast,series b,5750000.0,2019
72,2019-10-07,healthassure,health care,primary care medical network,mumbai,blume ventures,series a,2500000.0,2019
73,2019-09-07,house of msasaba,luxury label,clothes and apparel,mumbai,binny bansal,series a,1000000.0,2019
74,2019-08-07,board infinity,edtech,full-stack career platform,chembur,multiple angel investors,angel round,319605.0,2019
75,2019-05-06,nobroker,e-commerce,real estate,bengaluru,general atlantic,series c,51000000.0,2019
76,2019-04-06,bira91,food and beverage,brewery,new delhi,anicut capital,debt funding,10000000.0,2019
78,2019-03-06,avail finance,finance,fintech,bengaluru,matrix partners,series a,9000000.0,2019
79,2019-04-06,bharatpe,finance,fintech,new delhi,insight partners,series b,75000000.0,2019
80,2019-04-06,recykal,waste management service,optimization,hyderabad,"triton investment advisors, pidilite industries director ajay parekh",pre-series a,26000000.0,2019
81,2019-03-06,agara labs,deep-tech,artificial intelligence,bengaluru,blume ventures and rtp global,pre-series a,2500000.0,2019
83,2019-06-06,chakr innovation,energy,renewable energy,new delhi,ian fund,series a,26000000.0,2019
84,2019-06-06,pratilipi,digital media,e-books,bengaluru,qiming venture partners,series b,1510950000.0,2019
85,2019-10-06,bolo app,digital media,video platform,bengaluru,nexus venture partners,seed funding,430200.0,2019
86,2019-10-06,okcredit,fintech,financial services,haryana,tiger global management,series a,15500000.0,2019
87,2019-06-06,biz2credit,fintech,online lending platform,new york,westbridge capital,series b,52000000.0,2019
88,2019-08-06,vogo automotive pvt. ltd.,transportation,dockless scooter rental company,karnataka,alteria capital,debt funding,3584000.0,2019
89,2019-04-06,leegality,services,digital documentation,mumbai/bengaluru,mumbai angels,series a,3400000.0,2019
90,2019-06-05,ola electric,transport,cabs,bengaluru,tata sons,series a,1725000.0,2019
91,2019-06-05,saahas zero waste,waste management service,optimization,bengaluru,c4d partners,venture - series unknown,868600.0,2019
92,2019-05-05,styledotme,e-commerce,fashion and shopping,new delhi,"indian angel network and other angel investors, innov8 founder ritesh malik, josh talks founders supriya paul and shobha banga, and former hero corporate president rohit chanana",bridge round,1725000.0,2019
93,2019-01-05,blackbuck,transport,logistics,bengaluru,"goldman sachs investment partners and silicon valley-based accel, wellington, sequoia capital, b capital, lightstreet, sands capital and international finance corporation,",series d,150000000.0,2019
94,2019-02-05,zenoti,saas,beauty and wellness industry,hyderabad,tiger global management,series c,50000000.0,2019
95,2015-01-01,ather energy,automobile,electric vehicle,bengaluru,sachin bansal,series c,51000000.0,2015
96,2015-01-01,freshvnf,agtech,fresh agriculture produces,mumbai,equanimity ventures,seed round,140000000.0,2015
97,2015-01-01,glowroad,e-commerce,retail,bengaluru,"korea investment partners, vertex ventures",series b,11500000.0,2015
98,2015-01-01,bira91,food and beverage,brewery,new delhi,sixth sense ventures,series b,5600000.0,2015
99,2015-01-01,kuvera,finance,wealth management,bengaluru,eight roads,series a,45000000.0,2015
100,2019-12-04,medlife,e-commerce,online medicine,bengaluru,prasid uno family trust,private equity,17000000.0,2019
101,2019-10-04,kabadiwala,e-commerce,waste management,bhopal,"unilever, beehive capital advisor, abcom investments, parekh marine transport,",private equity,430665.0,2019
102,2015-01-01,tripoto,social media,travel,new delhi,"orchid india, hornbill orchid india fund, chiratae ventures (formerly idg ventures), 3one4 capital, lasmer nv",series b,3591375.0,2015
103,2019-12-04,azah,health and wellness,organic wellness,gurugram,unnamed angel investors,seed funding,200000.0,2019
104,2019-11-04,setu,fintech,banking,bengaluru,lightspeed india partners,seed funding,3500000.0,2019
105,2019-10-04,toppr,edtech,e-learning,mumbai,milestone,debt and preference capital,6320820.0,2019
106,2019-10-04,craftsvilla,e-commerce,fashion and apparel,mumbai,supera pte ltd,inhouse funding,2443495.0,2019
107,2019-10-04,unacademy,edtech,e-learning,bengaluru,kalyan krishnamurthy,seed/ angel funding,307000.0,2019
108,2019-11-04,clevertap,saas,mobile analytics and marketing,mumbai,"sequoia india, tiger global management, accel partners",series b,26000000.0,2019
109,2015-01-01,my healthcare,e-commerce,software solutions,bengaluru and gurugram,sixth sense ventures,series a,3000000.0,2015
110,2015-01-01,krazybee,e-commerce,lending platform,bengaluru,"bac acquisitions, unifi aif, brd securities, northern r capital",debt,14342000.0,2015
111,2015-01-01,shuttl,transportation,bus aggregation,gurugram,new atlantic ventures,venture round,5000000.0,2015
112,2015-01-01,increff,technology,supply-chain technology solutions,bengaluru,"021 capita, binny bansal",series a,3000000.0,2015
113,2019-01-02,fleetx,ai,logistics,gurugram,india quotient and letsventure\\xe2\\x80\\x99s angel fund,pre series a,1725000.0,2019
114,2019-08-02,zilingo,ecommerce,fashion & apparel,india/singapore,"sequoia capital and temasek holdings, edbi, burda principal investments, and sofina",series d,226000000.0,2019
115,2015-01-01,nanoclean global,nanotechnology,anti-pollution,new delhi,"letsventure, pitchright venture, 91springboard, al nour international holdings and mark v investments",series a,600000.0,2015
116,2015-01-01,oyorooms,hospitality,budget rooms,gurugram,didi chuxing,equity,100000000.0,2015
117,2019-03-01,cardekho,automobile,online marketplace,jaipur,"sequoia india, hillhouse capital, alphabet\\xe2\\x80\\x99s growth investment arm capital g and axis bank",series c,110000000.0,2019
118,2019-04-01,vyome therapeutics inc.,health and wellness,specialty pharmaceutical,india/us,"iron pillar, perceptive advisors, romulus capital and kalaari capital",series d,22000000.0,2019
119,2019-04-01,samunnati financial intermediation & services pvt. ltd,finance,non-banking financial company,chennai,"massif, a dutch government fund",debt-funding,5000000.0,2019
120,2018-04-12,manch,social media,hyperlocal content,new delhi,stellaris venture partners,seed funding,700000.0,2018
121,2018-01-12,urbanclap technologies pvt. ltd,services platform,home services marketplace,new delhi,steadview capital and vy capital.,series d,50000000.0,2018
122,2018-02-12,guiddoo,travel tech,platform for travel agents,mumbai,individual investors,pre-series a,800000.0,2018
123,2018-02-12,career anna,online education,"video-based certification, trainings",gurugram,individual investors,pre-series a,572000.0,2018
124,2018-04-12,nagpur wholesale,online marketplace,ecommerce,nagpur,omphalos ventures india llp,seed funding,143000.0,2018
125,2018-06-12,shopkirana,b2b,ecommerce,indore,"info edge, aet fund, akatsuki and incubate fund from japan and better capital angellist syndicate.",seed funding,2000000.0,2018
126,2018-06-12,buildsupply,"saas, ecommerce","real estate, erp",gurugram,"venture highway, gree ventures, space matrix, individual investors",series a,3500000.0,2018
127,2018-01-11,godesi,food and beverage,regional flavours,bengaluru,lead angels network,seed/ angel funding,138995.0,2018
128,2018-03-11,veritas finance ltd.,nbfc,msme finance,chennai,"norwest venture partners, cdc group, the uk\\xe2\\x80\\x99s development finance institution and p surendra pai",series d,27799000.0,2018
129,2018-06-11,meesho,ecommerce,social commerce,bengaluru,"shunwei capital, dst partners and rps ventures",series c,50000000.0,2018
130,2018-08-11,mobile premier league,gaming,mobile e-sports,bengaluru,undisclosed,series a,500000.0,2018
131,2018-08-11,a&r bon vivants,food,meat retail chain,jaipur,"rb investments, singapore",equity,1000000.0,2018
132,2018-12-11,blackbuck,food tech,pos for online ordering,"new york, bengaluru",tiger global,series a,1000000.0,2018
133,2018-12-11,milkbasket,food,micro-delivery grocery service,new delhi,mayfield fund,series b,1300000.0,2018
134,2015-01-01,driveu,transport,on-demand drivers,bengaluru,stevens creek ventures,mezzanine,1000000.0,2015
135,2015-01-01,cleansecar,services,car wash,bengaluru,venture catalysts,seed/ angel funding,500000.0,2015
136,2015-01-01,automation anywhere,automation,robotics,california,softbank vision fund,series b,300000000.0,2015
137,2015-01-01,healthifyme,health and wellness,wellness coach,bengaluru,"sistema asia fund, vc samsung next, chiratae ventures, inventus capital, blume ventures and innoven capital.",series b (extension),6000000.0,2015
138,2015-01-01,genius corner,education,personalized learning,new delhi,individual investors,seed funding,278000.0,2015
139,2015-01-01,aavishkaar-intellecap group,investment,sme funding,mumbai,teachers insurance and annuity association (tiaa),equity based funding,31000000.0,2015
140,2015-01-01,skillbox,social network,art,gurugram,individual investors,seed funding,1725000.0,2015
141,2015-01-01,signzy,financial tech,digital onboarding solution,mumbai/bengaluru,"stellaris venture partners and kalaari capital, rajan anandan from google, dilip khandwelwal from sap labs india, and amrish rau from payu india",series a,3400000.0,2015
142,2015-01-01,engineer.ai,software,ai platform,india/us,"lakestar and jungle ventures, softbank\\xe2\\x80\\x99s deepcore.",series a,29500000.0,2015
143,2015-01-01,incred finance,finance,sme lending,india,"paragon partners, individual investors",private equity,42000000.0,2015
144,2015-01-01,roposo,social media,video sharing,new delhi,bertelsmann india investments,series b,1700000.0,2015
145,2018-01-10,northmist,fashion,mens wear,new delhi,prashant jaiswal,seed/ angel funding,1725000.0,2018
146,2018-02-10,origo commodities india pvt. ltd,logistics,supply chain,hyderabad,"cooperative oikocredit, caspian and hivos-triodos fund",seed/ angel funding,11000000.0,2018
147,2018-04-10,grover zampa,food,wine,mumbai,ravi viswanathan,private equity,8200000.0,2018
148,2018-05-10,droom,automobile,new and used cars platform,gurugram,zigexn,series e,3000000.0,2018
149,2018-11-10,innov8,real estate,co-working,new delhi,credence family office,pre-series a,4000000.0,2018
150,2018-12-10,blackbuck,logistics tech,largest trucking platform,bengaluru,sequoia capital india,private funding,14680000.0,2018
151,2018-12-10,letstransport,logistics tech,book trucks online,bengaluru,fosun international,series c,12000000.0,2018
152,2018-01-09,netmeds,consumer internet,online pharmacy chain,chennai,"sistema asia fund, sistema jsfc and tanncam investment",private equity,35000000.0,2018
153,2018-03-09,udaan,b2b platform,logistics and shipping,bengaluru,dst global and lightspeed venture partners\\xe2\\x80\\x99 global fund.,private equity,225000000.0,2018
154,2018-03-09,daily hunt,consumer internet,news and ebooks mobile app\\xc2\\xa0,bengaluru,falcon edge,private equity,6390000.0,2018
155,2018-04-09,3hcare,healthcare,healthcare service provider,new delhi,Undisclosed,seed / angel funding,1000000.0,2018
156,2018-04-09,happygoeasy,consumer internet,online travel agecy,gurugram,"korea investment partners (kip), samsung and china-based citic capital and others",private equity,1725000.0,2018
157,2018-05-09,nykaa,consumer internet,online marketplace for multi-brand beauty cosmetic and wellness products,mumbai,lighthouse,private equity,157200000.0,2018
158,2018-05-09,mad street den,technology,computer vision and artificial intelligence (ai) platform,chennai,kddi\\xc2\\xa0,private equity,1725000.0,2018
159,2018-06-09,dream11,consumer internet,online gaming platform,mumbai,"tencent, kalaari capital and private equity firm multiples alternate asset management",private equity,100000000.0,2018
160,2018-10-09,mamaearth,healthcare,online marketplace for mother and babycare products,gurugram,stellaris ventures & others,private equity,4000000.0,2018
161,2018-11-09,autogrid,technology,ai-based energy optimisation and control provider,bengaluru,"clp holdings group, innogy, \\xc3\\x98rstead, and tenaska",private equity,32000000.0,2018
162,2018-11-09,pharmeasy,consumer internet,online marketplace for pharmaceutical products,mumbai,innoven capital,debt funding,5500000.0,2018
163,2018-11-09,upwards,fin-tech,online micro lending marketplace,mumbai,"shunwei capital,quotient, mayfield & others",private equity,5000000.0,2018
164,2018-12-09,kissht,fin-tech,online lending platform,mumbai,"vertex ventures southeast asia (sea) and india and sistema asia fund, fosun rz capital, ventureast, and endiya partners.\\n\\n",private equity,30000000.0,2018
165,2018-01-08,dishq,food-tech,personalisation technology firm focusing on the food and beverage industry,bengaluru,"farm to fork, arts alliance, the syndicate fund, sven hensen, zeroth and artesian venture partners",seed/ angel funding,400000.0,2018
166,2018-01-08,healthfin,finance,patient financing platform,pune,"axilor, sprout venture partners and others",seed/ angel funding,1725000.0,2018
167,2018-02-08,samosa labs,consumer internet,social media and chat entertainment platform,hyderabad,xiaomi and sequoia capital india,private equity,7000000.0,2018
168,2018-03-08,ziffyhomes,consumer internet,online home rental marketplace,gurugram,y combinator,private equity,120000.0,2018
169,2018-07-08,my omnamo,consumer internet,holy platform offering customised puja packages to individuals and corporates,mumbai,Undisclosed,seed/ angel funding,1000000.0,2018
170,2018-07-08,shopx,consumer internet,assisted e-commerce platform,bengaluru,fung strategic holdings,private equity,35000000.0,2018
171,2018-07-08,makemytrip,consumer internet,online travel aggregator,gurugram,makemytrip limited,private equity,10000000.0,2018
172,2018-08-08,hansel io,consumer internet,real-time mobile app management,bengaluru,vertex ventures,seed/ angel funding,4000000.0,2018
173,2018-08-08,metro bikes,consumer internet,online bike rental marketplace,bengaluru,"sequoia capital india advisors, accel partners and g raghunandan",private equity,12200000.0,2018
174,2018-08-08,phone pe,consumer internet,upi payments app,bengaluru,flipkart,private equity,66000000.0,2018
175,2018-09-08,quizizz,ed-tech,e-learning platform,bengaluru,"nexus venture partners, prime venture partners and others",seed/ angel funding,3000000.0,2018
176,2018-09-08,happy emi,fin-tech,consumer financing platform,bengaluru,aj ventures and jain international trade organisation (jito),seed/ angel funding,1000000.0,2018
177,2015-01-01,inthree,consumer internet,rural e-commerce platform,chennai,"ventureast, orios venture partners and the ian fund",seed/ angel funding,4000000.0,2015
178,2015-01-01,observe ai,technology,ai based solutions platform,bengaluru,"nexus venture partners, mgv, liquid 2 ventures, hack vc, emergent ventures and y combinator",private equity,8000000.0,2015
179,2015-01-01,enakshi,consumer internet,ai based solutions platform,ahemadabad,Undisclosed,seed/ angel funding,114811.0,2015
180,2015-01-01,eazydiner,consumer internet,online restaurant table reservation platform,gurugram,denlow investment trust and beenext,private equity,5850000.0,2015
181,2015-01-01,finzy,finance,online loan matchmaking platform,bengaluru,Undisclosed,seed / angel funding,1000000.0,2015
182,2015-01-01,rawpressery,consumer internet,online organic juice delivery service,mumbai,alteria capital,debt funding,4800000.0,2015
183,2015-01-01,pi ventures,technology,applied artificial intelligence and iot focused\\xc2\\xa0platform,bengaluru,cdc group plc\\xc2\\xa0,private equity,6000000.0,2015
184,2015-01-01,revv,consumer internet,online indian car rental platform,gurugram,"hyundai, edelweiss and beenext, dream incubator, sunjay kapoor and telama investment",private equity,14270000.0,2015
185,2015-01-01,zestmoney,consumer internet,online lending platform,bengaluru,"xiaomi,payu, ribbit capital and omidyar network",private equity,13400000.0,2015
186,2015-01-01,shubh loans,fin-tech,\\xc2\\xa0customer sourcing platform\\xc2\\xa0,bengaluru,"saama capital, sri capital, beenext, and pravega ventures",private equity,4200000.0,2015
187,2015-01-01,myupchar,healthcare,local language health content app,new delhi,"nexus venture partners, omidyar network and shunwei capital",private equity,5000000.0,2015
188,2015-01-01,narvar,it,post-purchase customer engagement platform\\xc2\\xa0,bengaluru,accel (formerly known as accel partners),private equity,3000000.0,2015
189,2015-01-01,true north,finance,private equity firm,mumbai,Undisclosed,private equity,600000000.0,2015
190,2018-01-07,leena ai,technology,hr virtual agent for employees,gurugram,y combinator,seed/ angel funding,1725000.0,2018
191,2018-02-07,biryani by kilo,consumer internet,online food delivery,gurugram,ajay relan and vinay mittal,seed/ angel funding,1000000.0,2018
192,2018-04-07,anchanto,it,e-commerce fulfilment platform,pune,mdi ventures & telkom indonesia,private equity,4000000.0,2018
193,2015-01-01,loan tap,consumer internet,online lending platform for salaried professionals,mumbai,"shunwei capital, tuscan ventures, ashish goenka, vc firms india quotient and kae capital",private equity,6250000.0,2015
194,2018-06-07,policybazaar,consumer internet,online insurance selling platform,gurugram,info edge (india) ltd and temasek,private equity,27700000.0,2018
195,2018-09-07,zippserv,consumer internet,online platform for risk-assessment services for real estate investments,bengaluru,info edge (india) ltd,seed/ angel funding,440000.0,2018
196,2018-09-07,groww,consumer internet,online platform that sells direct plans of mutual funds,bengaluru,"insignia ventures partners, lightbridge partners & kairos",seed/ angel funding,1100000.0,2018
197,2018-10-07,avenue growth,consumer internet,online platform that connects brands with freelance sales professionals,gurugram,"avtar monga, chief operating office at idfc bank, aditya malik & others",seed/ angel funding,437000.0,2018
198,2018-10-07,inicu,healthcare,med-tech platform providing care for newborns,new delhi,venture catalysts,seed/ angel funding,1725000.0,2018
199,2018-10-07,kinara capital,finance,lending platform for micro and small enterprises,bengaluru,responsability,private equity,5000000.0,2018
200,2018-10-07,shop 101,consumer internet,mobile storefront and commerce platform for sellers,mumbai,"stellaris venture partners, vy capital, raghunandan g, and ramakant sharma",private equity,5000000.0,2018
201,2018-11-07,sambandh,consumer internet,online micro lending platform,rourkela,base of pyramid asia (bopa) pte ltd,private equity,2500000.0,2018
202,2018-12-07,19th mile,it,artificial intelligence-based sales acceleration software platform,gurugram,"rishi vasudev, excelsior investments, ritesh vohra, praveer kumar, prashant gupta and others",seed/ angel funding,180000.0,2018
203,2018-12-07,5th vital,healthcare,home diagnostics services provider,bengaluru,brand capital and others,seed/ angel funding,500000.0,2018
204,2015-01-01,mengage,healthcare,a doctor-patient engagement platform,jaipur,"siddharth agarwal, mahavir sharma, amit singal, 100 co-founders lab and others.",seed/ angel funding,175000.0,2015
205,2015-01-01,ofbusiness,finance,online lending platform for sme,gurugram,"creation investments, falcon edge, matrix partners india and zodius capital",private equity,29000000.0,2015
206,2015-01-01,cars24,consumer internet,online used car marketplace,gurugram,"kingsway fci fund, kck global & others",private equity,49700000.0,2015
207,2015-01-01,the ken,consumer internet,subscription-only news website,bengaluru,omidyar network & others,seed/ angel funding,1500000.0,2015
208,2015-01-01,book my show,consumer internet,online ticketing platform,mumbai,"tpg growth, the rise fund & others",private equity,100000000.0,2015
209,2015-01-01,housingman,consumer internet,property discovery platform,bengaluru,Undisclosed,seed/ angel funding,1500000.0,2015
210,2015-01-01,paysense,consumer internet,online consumer lending platform,mumbai,payu & others,private equity,18000000.0,2015
211,2015-01-01,yulu bikes,technology,bicycle-sharing platform,bengaluru,Undisclosed,seed/ angel funding,1725000.0,2015
212,2015-01-01,vtion,technology,media analytics,gurugram,"angellist, rahul khanna, rajeev arora and ram ramsundar.",seed/ angel funding,280000.0,2015
213,2015-01-01,log9 materials,technology,nanotechnology company specializing in graphene,bengaluru,"metaform ventures, hemant luthra, micro venture capital firm gems partners and others",seed/ angel funding,436000.0,2015
214,2015-01-01,kidovators,ed-tech,skill learning platform,bengaluru,gray matters,seed/ angel funding,180000.0,2015
215,2015-01-01,digit,consumer internet,online insurance startup,pune,fairfax,private equity,45000000.0,2015
216,2015-01-01,black soil,finance,non-banking financial company,mumbai,"allcargo logistics, navneet education and mahavir agency",private equity,17000000.0,2015
217,2015-01-01,trell,consumer internet,mobile-first video blogging app,bengaluru,"beenext , weh ventures and sprout ventures",seed/ angel funding,1250000.0,2015
218,2015-01-01,iqlect,technology,data analytics firm,bengaluru,ventureast and exfinity,seed/ angel funding,2500000.0,2015
219,2015-01-01,entropik,it,software-as-a-service platform,bengaluru,"bharat innovation, idfc-parampara capital, arthavida ventures, jitendra gupta & others",seed/ angel funding,1100000.0,2015
220,2015-01-01,bitla software,technology,travel-focused tech startup,bengaluru,makemytrip,private equity,1725000.0,2015
221,2015-01-01,thecapitalnet,fin-tech,unified global investments ecosystem,hyderabad,lindwall family investments llc (lfi),private equity,500000.0,2015
222,2015-01-01,shuttl,consumer internet,bus aggregation platform,gurugram,amazon alexa fund & dentsu ventures,private equity,11000000.0,2015
223,2015-01-01,cure fit,consumer internet,health and fitness platform,bengaluru,"idg ventures, accel partners, kalaari capital and others",private equity,120000000.0,2015
224,2015-01-01,five star group,fin-tech,non-bank lending platform for sme,chennai,"tpg, norwest venture partners, sequoia capital & matrix partners",private equity,100000000.0,2015
225,2015-01-01,healthsignz,healthcare,health and well being platform,hyderabad,kantilal patel,seed/ angel funding,5000000.0,2015
226,2018-01-06,cointribe,finance,credit-based lending marketplace for small and medium enterprises,gurugram,"sabre partners, puneet dalmia & others",private equity,10000000.0,2018
227,2018-04-06,digiconectt,technology,sales analytics and enablement platform,bengaluru,aspire logistics llc,seed/ angel funding,125000.0,2018
228,2018-04-06,kashmir box,e-commerce,"online marketplace for handicrafts, handlooms and local produce",srinagar,"bhairavi jani, alok divatia, namrata kaul, sohail hashemi, aijaz saleem",seed/ angel funding,1725000.0,2018
229,2018-05-06,crowdera,finance,online crowdfunding platform,nagpur,"anil advani, pramod jain, amrendra reddy and manish satnaliwala.",seed/ angel funding,1725000.0,2018
230,2018-05-06,zoctr,healthcare,online healthcare aggregator,mumbai,nb ventures and others,seed/ angel funding,1725000.0,2018
231,2018-07-06,annapurna finance,finance,non-banking financial company,bhubneswar,oman india joint investment fund (oijif),private equity,23000000.0,2018
